Mass (M/M_sun),M_B,M_V,(B-V)_0
300.0,-9.696860000000001,-9.45256,-0.244306
275.0,-9.40043,-9.15025,-0.250181
250.0,-9.1165,-8.86917,-0.24733400000000003
225.0,-8.82784,-8.578380000000001,-0.24946
200.0,-8.56199,-8.30297,-0.259025
175.0,-8.26945,-8.00447,-0.264973
150.0,-7.958,-7.68854,-0.269462
100.0,-7.1061,-6.8270100000000005,-0.279087
99.0,-7.0888800000000005,-6.80958,-0.27929699999999996
98.0,-7.071560000000001,-6.792039999999999,-0.279513
97.0,-7.05404,-6.7743,-0.27973200000000004
96.0,-7.03649,-6.756539999999999,-0.279952
95.0,-6.971010000000001,-6.68991,-0.281107
94.0,-6.9836100000000005,-6.7027600000000005,-0.280857
93.0,-6.9355,-6.6539,-0.281604
92.0,-6.90395,-6.6243300000000005,-0.27962600000000004
91.0,-6.88571,-6.605860000000001,-0.279851
90.0,-6.8672699999999995,-6.58719,-0.28008099999999997
89.0,-6.8373800000000005,-6.55695,-0.280436
88.0,-6.81849,-6.5378099999999995,-0.28067800000000004
87.0,-6.79948,-6.51855,-0.280923
86.0,-6.78027,-6.4991,-0.281172
85.0,-6.74949,-6.46793,-0.281561
84.0,-6.7297899999999995,-6.44796,-0.281823
83.0,-6.70984,-6.42775,-0.28209
82.0,-6.7045,-6.4223,-0.28220500000000004
81.0,-6.65797,-6.37518,-0.28279
80.0,-6.63738,-6.35431,-0.283074
79.0,-6.616560000000001,-6.33319,-0.283366
78.0,-6.599880000000001,-6.31625,-0.283636
77.0,-6.562539999999999,-6.27841,-0.28413099999999997
76.0,-6.54102,-6.2565800000000005,-0.284443
75.0,-6.51924,-6.2344800000000005,-0.28475900000000004
74.0,-6.50416,-6.21915,-0.28501
73.0,-6.47774,-6.19234,-0.285394
72.0,-6.45501,-6.16927,-0.285735
71.0,-6.43203,-6.14595,-0.286081
70.0,-6.39449,-6.10783,-0.286661
69.0,-6.385190000000001,-6.09839,-0.286792
68.0,-6.36142,-6.07426,-0.287166
67.0,-6.31179,-6.02384,-0.287951
66.0,-6.28723,-5.998880000000001,-0.288342
65.0,-6.26246,-5.97372,-0.28874
64.0,-6.23726,-5.94811,-0.289148
63.0,-6.2118400000000005,-5.922280000000001,-0.28957
62.0,-6.18611,-5.89611,-0.289996
61.0,-6.13368,-5.84279,-0.29088800000000004
60.0,-6.10714,-5.8158,-0.291337
59.0,-6.08026,-5.78846,-0.291802
58.0,-6.05315,-5.76087,-0.29228200000000004
57.0,-6.025580000000001,-5.7328,-0.292773
56.0,-5.99774,-5.70448,-0.293263
55.0,-5.96957,-5.676419999999999,-0.293152
54.0,-5.9131,-5.61828,-0.294815
53.0,-5.88379,-5.58903,-0.294758
52.0,-5.85406,-5.55954,-0.29451900000000003
51.0,-5.823930000000001,-5.52969,-0.294238
50.0,-5.79333,-5.49942,-0.293916
49.0,-5.76232,-5.46877,-0.293551
48.0,-5.70151,-5.4065,-0.295014
47.0,-5.669169999999999,-5.37465,-0.29452
46.0,-5.63645,-5.34248,-0.29397199999999996
45.0,-5.60305,-5.30966,-0.293385
44.0,-5.56919,-5.27644,-0.292747
43.0,-5.53484,-5.24279,-0.292054
42.0,-5.46497,-5.17289,-0.292084
41.0,-5.42847,-5.13725,-0.291219
40.0,-5.39161,-5.1012900000000005,-0.29032600000000003
39.0,-5.35419,-5.064780000000001,-0.289407
38.0,-5.316269999999999,-5.02781,-0.28846
37.0,-5.276730000000001,-4.98872,-0.28801
36.0,-5.19735,-4.908919999999999,-0.28843
35.0,-5.15287,-4.86356,-0.28931100000000004
34.0,-5.10786,-4.81763,-0.290234
33.0,-5.0623,-4.77111,-0.291198
32.0,-5.016380000000001,-4.72417,-0.292213
31.0,-4.93306,-4.64048,-0.292584
30.0,-4.88609,-4.59246,-0.293622
29.0,-4.83914,-4.54443,-0.294716
28.0,-4.769340000000001,-4.47401,-0.295329
27.0,-4.69731,-4.40263,-0.294674
26.0,-4.62451,-4.33204,-0.292468
25.0,-4.54979,-4.25973,-0.290059
24.0,-4.47329,-4.1858699999999995,-0.287411
23.0,-4.39504,-4.11054,-0.284494
22.0,-4.28089,-3.9989199999999996,-0.281969
21.0,-4.18387,-3.9007699999999996,-0.283092
20.0,-4.08312,-3.7987599999999997,-0.284362
19.0,-3.97769,-3.6919,-0.285798
18.0,-3.85105,-3.56439,-0.286656
17.0,-3.7407,-3.4542800000000002,-0.286419
16.0,-3.5954,-3.30902,-0.28638600000000003
15.0,-3.4455,-3.16115,-0.284351
14.0,-3.2941800000000003,-3.0143299999999997,-0.279853
13.0,-3.16948,-2.89459,-0.274892
12.0,-2.97847,-2.70548,-0.272993
11.0,-2.78368,-2.51717,-0.266513
10.0,-2.4880400000000003,-2.26332,-0.224721
9.9,-2.43922,-2.21475,-0.224467
9.8,-2.4359599999999997,-2.2126200000000003,-0.22334099999999998
9.7,-2.4099,-2.18728,-0.22261599999999998
9.6,-2.3841799999999997,-2.1623,-0.22188000000000002
9.5,-2.35691,-2.13571,-0.221202
9.4,-2.31128,-2.09044,-0.22083899999999998
9.3,-2.30067,-2.08085,-0.219827
9.2,-2.2725299999999997,-2.05342,-0.21910700000000002
9.1,-2.2446900000000003,-2.02632,-0.218367
9.0,-2.21679,-1.9991900000000002,-0.21760300000000002
8.9,-2.17367,-1.95658,-0.21709499999999998
8.8,-2.1601,-1.9441099999999998,-0.21599699999999997
8.7,-2.12993,-1.9147299999999998,-0.21519699999999997
8.6,-2.0995,-1.88513,-0.21437199999999998
8.5,-2.0691900000000003,-1.8556700000000002,-0.213515
8.4,-2.02847,-1.8156299999999999,-0.212831
8.3,-2.00766,-1.79594,-0.21171500000000001
8.2,-1.97695,-1.76617,-0.21077800000000002
8.1,-1.94658,-1.73678,-0.2098
8.0,-1.91307,-1.7042700000000002,-0.20880100000000001
7.9,-1.87949,-1.67173,-0.20776
7.8,-1.8457599999999998,-1.63906,-0.20669899999999997
7.7,-1.8159599999999998,-1.61049,-0.20547100000000001
7.6,-1.78257,-1.57825,-0.204323
7.5,-1.74888,-1.54574,-0.20313399999999998
7.4,-1.71374,-1.5118200000000002,-0.20192000000000002
7.3,-1.67708,-1.4764,-0.200676
7.2,-1.6563700000000001,-1.45739,-0.198977
7.1,-1.6201299999999998,-1.42252,-0.19761099999999998
7.0,-1.58382,-1.38762,-0.196195
6.9,-1.54603,-1.35128,-0.19475
6.8,-1.50918,-1.3159299999999998,-0.193251
6.7,-1.46948,-1.27772,-0.19175799999999998
6.6,-1.42956,-1.23935,-0.190206
6.5,-1.38941,-1.2008,-0.188608
6.4,-1.34953,-1.16258,-0.186949
6.3,-1.32623,-1.14151,-0.18471700000000002
6.2,-1.28433,-1.10134,-0.18299300000000002
6.1,-1.24075,-1.05949,-0.181263
6.0,-1.19754,-1.01809,-0.179449
5.9,-1.15222,-0.9746,-0.177622
5.8,-1.1123100000000001,-0.936768,-0.175546
5.7,-1.07081,-0.897349,-0.173464
5.6,-1.02852,-0.857158,-0.17135899999999998
5.5,-0.992856,-0.823894,-0.168963
5.4,-0.947149,-0.780349,-0.1668
5.3,-0.891547,-0.726698,-0.164848
5.2,-0.852331,-0.69006,-0.162271
5.1,-0.8063779999999999,-0.6464949999999999,-0.159884
5.0,-0.760117,-0.602708,-0.157409
4.9,-0.699739,-0.544416,-0.15532200000000002
4.8,-0.655215,-0.50267,-0.152544
4.7,-0.6117060000000001,-0.46207600000000004,-0.14962999999999999
4.6,-0.559562,-0.41263900000000003,-0.146922
4.5,-0.49364300000000005,-0.349057,-0.144586
4.4,-0.44241899999999995,-0.300859,-0.14156
4.3,-0.38700300000000004,-0.248446,-0.13855599999999998
4.2,-0.329383,-0.193873,-0.13551
4.1,-0.271836,-0.13964000000000001,-0.132196
4.0,-0.2063,-0.0772442,-0.129056
3.9,-0.13037,-0.00277317,-0.12759700000000002
3.8,-0.0673051,0.056824599999999996,-0.12412999999999999
3.7,-0.000261665,0.12016800000000001,-0.12043
3.6,0.0218166,0.137011,-0.115194
3.5,0.132141,0.24224600000000002,-0.110104
3.4,0.216415,0.32448899999999997,-0.108074
3.3,0.293566,0.397167,-0.1036
3.2,0.35576399999999997,0.451338,-0.0955748
3.1,0.458338,0.55135,-0.0930117
3.0,0.521629,0.605043,-0.08341380000000001
