Mass (M/M_sun),M_B,M_V,(B-V)_0
3.6,9.69036,9.92049,-0.23013000000000003
3.5,-0.5731149999999999,-1.82315,1.25003
3.4,-0.05230980000000001,-1.0479100000000001,0.9956020000000001
3.3,0.263371,-0.733977,0.9973479999999999
3.2,-0.891541,-0.8950100000000001,0.00346982
3.1,-0.6359239999999999,-0.61164,-0.024284
3.0,-0.370708,-0.337473,-0.0332346
2.95,-0.25606599999999996,-0.221519,-0.0345469
2.9,-0.155411,-0.119299,-0.0361127
2.85,-0.0398344,-0.00623867,-0.0335958
2.8,0.07630310000000001,0.109296,-0.032992400000000005
2.75,0.165734,0.194656,-0.028922000000000003
2.7,0.273235,0.30005,-0.026814499999999998
2.65,0.379425,0.403402,-0.023977099999999998
2.6,0.468224,0.487016,-0.018792
2.55,0.567806,0.581611,-0.0138055
2.5,0.662714,0.670131,-0.00741744
2.45,0.7549859999999999,0.7550319999999999,-4.6789600000000003e-05
2.4,0.865497,0.8589549999999999,0.00654209
2.35,0.964117,0.9496760000000001,0.014441399999999998
2.3,1.04588,1.02063,0.0252479
2.25,1.15198,1.1175,0.034479
2.2,1.26042,1.2159,0.044528
2.15,1.362,1.30483,0.0571679
2.1,1.4786,1.40945,0.06915299999999999
2.05,1.5984399999999999,1.51576,0.082688
2.0,1.68802,1.60304,0.0849791
1.98,1.76036,1.65257,0.10779000000000001
1.96,1.82003,1.7069400000000001,0.11308900000000001
1.94,1.86445,1.74168,0.12278
1.92,1.9252200000000002,1.7962,0.129011
1.9,1.93677,1.81455,0.122214
1.88,2.03953,1.89182,0.147707
1.86,2.09013,1.93167,0.15846400000000002
1.84,2.14215,1.97239,0.169759
1.82,2.20893,2.03269,0.17624
1.8,2.2669599999999996,2.08126,0.185701
1.78,2.32857,2.1350599999999997,0.19350699999999998
1.76,2.3864799999999997,2.183,0.203488
1.74,2.44977,2.23684,0.21293299999999998
1.72,2.50537,2.28073,0.224646
1.7,2.56623,2.33145,0.234776
1.68,2.64325,2.40168,0.241565
1.66,2.71087,2.45836,0.25250900000000004
1.64,2.76631,2.5001599999999997,0.266152
1.62,2.8394,2.56156,0.277841
1.6,2.91908,2.6316900000000003,0.28738800000000003
1.58,2.99021,2.6901599999999997,0.30004899999999995
1.56,3.0688299999999997,2.75829,0.31053600000000003
1.54,3.14237,2.81877,0.323592
1.52,3.2187799999999998,2.8803799999999997,0.338399
1.5,3.2931199999999996,2.9422900000000003,0.350835
1.48,3.38102,3.01864,0.362383
1.46,3.46126,3.0859099999999997,0.375347
1.44,3.5382300000000004,3.14953,0.388704
1.42,3.6298800000000004,3.23104,0.398838
1.4,3.7101599999999997,3.30018,0.409974
1.38,3.7995,3.3778300000000003,0.421675
1.36,3.88007,3.4462099999999998,0.433856
1.34,3.97825,3.5328800000000005,0.44537
1.32,4.0624199999999995,3.6067199999999997,0.45570299999999997
1.3,4.15645,3.68959,0.466859
1.28,4.25891,3.7798599999999998,0.47904399999999997
1.26,4.35612,3.86426,0.49186
1.24,4.45651,3.95205,0.504455
1.22,4.5593,4.04365,0.515654
1.2,4.6574599999999995,4.13011,0.527349
1.18,4.762630000000001,4.2223,0.540323
1.16,4.881390000000001,4.32597,0.55542
1.14,4.9866,4.4168400000000005,0.569752
1.12,5.11264,4.5290099999999995,0.5836319999999999
1.1,5.23109,4.6327,0.598386
1.08,5.346509999999999,4.73217,0.614336
1.06,5.48375,4.84932,0.6344380000000001
1.04,5.60164,4.95071,0.650933
1.02,5.73761,5.06803,0.669586
1.0,5.87397,5.18294,0.691029
0.98,6.01607,5.29954,0.716534
0.96,6.1742300000000006,5.43525,0.738989
0.94,6.3179099999999995,5.556,0.761908
0.92,6.47452,5.68391,0.790608
0.9,6.657539999999999,5.83878,0.81876
0.88,6.8331800000000005,5.98666,0.846519
0.86,7.02348,6.14139,0.8820979999999999
0.84,7.209789999999999,6.30143,0.9083600000000001
0.82,7.4146399999999995,6.4728699999999995,0.9417719999999999
0.8,7.63616,6.65505,0.9811110000000001
0.78,7.8602,6.84484,1.01536
0.76,8.11552,7.052239999999999,1.0632700000000002
0.74,8.364130000000001,7.26162,1.1025200000000002
0.72,8.62681,7.482760000000001,1.14404
0.7,8.91962,7.722989999999999,1.1966299999999999
0.68,9.14995,7.933610000000001,1.21634
0.66,9.39766,8.15651,1.24115
0.64,9.66089,8.38865,1.27224
0.62,9.86989,8.589839999999999,1.28005
0.6,10.076,8.79106,1.28496
0.58,10.2807,8.990089999999999,1.29062
0.56,10.4938,9.19629,1.2975
0.54,10.7104,9.40532,1.30504
0.52,10.8894,9.58494,1.30444
0.5,11.0735,9.76951,1.304
0.48,11.2578,9.954180000000001,1.30367
0.46,11.4505,10.147,1.30352
0.44,11.6513,10.3478,1.30352
0.42,11.8697,10.5659,1.30375
0.4,12.0621,10.7618,1.30025
0.38,12.2584,10.9653,1.29312
0.36,12.4564,11.1721,1.2842799999999999
0.34,12.6599,11.3866,1.27331
0.32,12.8747,11.6139,1.26073
0.3,13.0601,11.8009,1.2592
0.28,13.2729,12.0157,1.2571700000000001
0.26,13.5071,12.2526,1.2545899999999999
0.24,13.7732,12.522,1.25111
0.22,14.0455,12.8036,1.24196
0.2,14.3526,13.1244,1.22813
0.18,14.7187,13.5117,1.2070299999999998
0.16,15.1868,14.0179,1.16889
0.14,15.7124,14.5814,1.13095
0.12,16.2772,15.154,1.12316
0.1,17.1854,16.0892,1.09623
