Mass (M/M_sun),M_B,M_V,(B-V)_0
6.1,-1.27455,-1.0941299999999998,-0.180419
6.0,-1.23175,-1.05318,-0.178566
5.9,-1.18659,-1.0099,-0.176689
5.8,-1.14771,-0.9731290000000001,-0.174586
5.7,-1.10216,-0.929588,-0.172576
5.6,-1.0604799999999999,-0.889992,-0.170485
5.5,-1.00956,-0.841045,-0.168515
5.4,-0.964025,-0.797689,-0.16633599999999998
5.3,-0.925768,-0.761901,-0.163867
5.2,-0.86825,-0.706455,-0.161796
5.1,-0.8217399999999999,-0.662326,-0.159413
5.0,-0.776246,-0.619317,-0.15693
4.9,-0.732162,-0.577864,-0.154298
4.8,-0.671879,-0.51988,-0.151998
4.7,-0.6268090000000001,-0.47763,-0.149179
4.6,-0.575607,-0.429142,-0.146465
4.5,-0.50788,-0.363832,-0.144048
4.4,-0.45807299999999995,-0.317073,-0.141
4.3,-0.403109,-0.265108,-0.138
4.2,-0.34121399999999996,-0.206163,-0.135051
4.1,-0.287062,-0.15538,-0.131682
4.0,-0.220835,-0.092339,-0.128496
3.9,-0.143375,-0.016496,-0.126879
3.8,-0.081024,0.0423361,-0.12336
3.7,-0.0101777,0.10956400000000001,-0.119742
3.6,0.049985699999999994,0.163794,-0.11380799999999999
3.5,0.113416,0.22265300000000002,-0.10923699999999999
3.4,0.216415,0.32448899999999997,-0.108074
3.3,0.293566,0.397167,-0.1036
3.2,0.356794,0.45215200000000005,-0.09535880000000001
3.1,0.458338,0.55135,-0.0930117
3.0,0.534316,0.618128,-0.0838118
2.95,0.577816,0.658028,-0.08021189999999999
2.9,0.639582,0.7198220000000001,-0.08023999999999999
2.85,0.675905,0.749106,-0.07320080000000001
2.8,0.72917,0.798509,-0.0693388
2.75,0.781369,0.8464,-0.06503110000000001
2.7,0.8326110000000001,0.893001,-0.0603898
2.65,0.8874209999999999,0.9424969999999999,-0.055075599999999995
2.6,0.9444299999999999,0.9943299999999999,-0.049899900000000004
2.55,1.00242,1.04606,-0.0436389
2.5,1.06228,1.09996,-0.037676
2.45,1.12826,1.1587399999999999,-0.030479000000000003
2.4,1.1903,1.21323,-0.022926
2.35,1.25785,1.2722799999999999,-0.014431
2.3,1.32933,1.33487,-0.00554204
2.25,1.4032,1.3983299999999999,0.00486803
2.2,1.48179,1.4659799999999998,0.015813900000000002
2.15,1.55121,1.5224600000000001,0.028752999999999997
2.1,1.6483700000000001,1.60627,0.042095999999999995
2.05,1.70915,1.65333,0.05582
2.0,1.7883900000000001,1.76233,0.026064999999999998
1.98,1.8033299999999999,1.7280799999999998,0.0752569
1.96,1.81968,1.73807,0.081609
1.94,1.87352,1.7834299999999998,0.090089
1.92,1.8960700000000001,1.7973599999999998,0.09870599999999999
1.9,1.96802,1.9070599999999998,0.060964
1.88,1.9826599999999999,1.86245,0.12021099999999998
1.86,2.0335799999999997,1.8967200000000002,0.136857
1.84,2.10101,1.9457400000000002,0.15526900000000002
1.82,2.1800200000000003,2.00354,0.176482
1.8,2.25014,2.06006,0.190073
1.78,2.34774,2.13427,0.213477
1.76,2.44257,2.20988,0.23269600000000001
1.74,2.55048,2.29431,0.25617199999999996
1.72,2.6392599999999997,2.36687,0.27239800000000003
1.7,2.7109900000000002,2.42596,0.285029
1.68,2.83167,2.5213200000000002,0.310348
1.66,2.92122,2.59343,0.32779
1.64,3.00867,2.66465,0.344018
1.62,3.09767,2.7379599999999997,0.359711
1.6,3.12557,2.76381,0.361757
1.58,3.26802,2.87947,0.388558
1.56,3.3517099999999997,2.9514400000000003,0.40027399999999996
1.54,3.42705,3.0171200000000002,0.40993
1.52,3.5125599999999997,3.0905,0.42206000000000005
1.5,3.6004699999999996,3.16646,0.434004
1.48,3.6684300000000003,3.2267099999999997,0.441719
1.46,3.7467099999999998,3.29671,0.45
1.44,3.8268,3.36815,0.458653
1.42,3.9090300000000004,3.4412599999999998,0.46776999999999996
1.4,4.00101,3.52271,0.47830200000000006
1.38,4.08052,3.5928199999999997,0.487705
1.36,4.15725,3.6614199999999997,0.49583299999999997
1.34,4.24675,3.74139,0.505362
1.32,4.33825,3.82378,0.514474
1.3,4.5103599999999995,3.98083,0.529533
1.28,4.51525,3.9829800000000004,0.53227
1.26,4.59927,4.05845,0.54082
1.24,4.68533,4.13543,0.549904
1.22,4.79215,4.22882,0.5633279999999999
1.2,4.7266699999999995,4.12245,0.604221
1.18,4.97224,4.39127,0.580972
1.16,5.06583,4.47527,0.590564
1.14,5.18396,4.57891,0.605052
1.12,5.2849900000000005,4.66741,0.617586
1.1,5.37292,4.74456,0.628363
1.08,5.49854,4.85273,0.645806
1.06,5.6044,4.94599,0.658411
1.04,5.7224900000000005,5.04855,0.673936
1.02,5.84472,5.1525,0.692213
1.0,5.96419,5.25264,0.711553
0.98,6.10595,5.3733699999999995,0.732575
0.96,6.24295,5.49034,0.752613
0.94,6.39013,5.61285,0.777274
0.92,6.54639,5.74151,0.804878
0.9,6.7000399999999996,5.87375,0.826292
0.88,6.872789999999999,6.01837,0.854427
