Mass (M/M_sun),M_B,M_V,(B-V)_0
0.98,4.28871,3.3191699999999997,0.9695370000000001
0.96,4.9444300000000005,4.22037,0.724061
0.94,5.16155,4.47502,0.686529
0.92,5.41881,4.72711,0.6916979999999999
0.9,5.65608,4.94492,0.711155
0.88,5.8934,5.16172,0.731684
0.86,6.13884,5.37907,0.759772
0.84,6.39037,5.59198,0.798385
0.82,6.6503,5.8191,0.8312
0.8,6.900869999999999,6.02924,0.8716290000000001
0.78,7.19327,6.28011,0.913156
0.76,7.47503,6.51525,0.959773
0.74,7.77239,6.767289999999999,1.0051
0.72,8.12181,7.0537600000000005,1.0680399999999999
0.7,8.44205,7.32637,1.11568
0.68,8.78342,7.60873,1.17468
0.66,9.06168,7.8528199999999995,1.20886
0.64,9.36182,8.124239999999999,1.23758
0.62,9.64306,8.37298,1.27007
0.6,9.90143,8.62072,1.2807
0.58,10.1259,8.83975,1.28614
0.56,10.3405,9.04827,1.29221
0.54,10.5822,9.28178,1.30037
0.52,10.8036,9.499,1.30459
0.5,10.9742,9.67021,1.3040399999999999
0.48,11.189,9.88537,1.30359
0.46,11.3806,10.0773,1.30334
0.44,11.5971,10.2938,1.3033
0.42,11.8062,10.5028,1.30339
0.4,12.0027,10.7006,1.30207
0.38,12.2224,10.9277,1.29471
0.36,12.4237,11.1374,1.28633
0.34,12.643,11.368,1.27494
0.32,12.8629,11.602,1.26089
0.3,13.0451,11.7856,1.25945
0.28,13.2601,12.0027,1.25739
0.26,13.4936,12.2388,1.25485
0.24,13.7589,12.5075,1.2514299999999998
0.22,14.0333,12.7906,1.24276
0.2,14.3439,13.1151,1.22879
0.18,14.7041,13.4957,1.2083899999999999
0.16,15.181,14.0113,1.1696600000000001
0.14,15.7075,14.5765,1.1310200000000001
0.12,16.27,15.1467,1.1233
0.1,17.1788,16.082,1.09673
