Mass (M/M_sun),M_B,M_V,(B-V)_0
1.5,1.11812,-0.057821500000000005,1.17594
1.48,1.26952,0.0151482,1.25437
1.46,3.6758599999999997,2.80822,0.867635
1.44,3.41656,2.82309,0.5934729999999999
1.42,3.50904,2.92183,0.587209
1.4,3.56215,2.9891799999999997,0.572964
1.38,3.60515,3.04609,0.55906
1.36,3.6587099999999997,3.11517,0.543536
1.34,3.72601,3.19096,0.535043
1.32,3.80789,3.27577,0.532118
1.3,3.88021,3.3525699999999996,0.527637
1.28,3.9584,3.4337,0.5246970000000001
1.26,4.05221,3.52863,0.523584
1.24,4.13925,3.6148800000000003,0.524369
1.22,4.2358,3.70707,0.528737
1.2,4.33062,3.79704,0.53358
1.18,4.4406300000000005,3.90098,0.5396479999999999
1.16,4.55134,4.00411,0.5472279999999999
1.14,4.66775,4.1106,0.5571550000000001
1.12,4.78841,4.22016,0.568257
1.1,4.91983,4.341080000000001,0.578756
1.08,5.03984,4.44881,0.591026
1.06,5.181690000000001,4.5761400000000005,0.6055510000000001
1.04,5.33121,4.70642,0.624785
1.02,5.47941,4.83517,0.644238
1.0,5.62721,4.9652199999999995,0.661995
0.98,5.77364,5.09115,0.682497
0.96,5.95172,5.240559999999999,0.711159
0.94,6.11037,5.37639,0.733979
0.92,6.27926,5.51985,0.759412
0.9,6.46595,5.67331,0.792643
0.88,6.65268,5.83247,0.8202149999999999
0.86,6.824839999999999,5.97731,0.8475280000000001
0.84,7.04648,6.15941,0.887072
0.82,7.233280000000001,6.3200400000000005,0.9132309999999999
0.8,7.48428,6.5286,0.955681
0.78,7.7020800000000005,6.71077,0.9913120000000001
0.76,7.9789,6.94192,1.03698
0.74,8.243,7.15659,1.0864200000000002
0.72,8.49574,7.3731,1.1226399999999999
0.7,8.79181,7.616810000000001,1.175
0.68,9.08233,7.872039999999999,1.2103
0.66,9.331380000000001,8.09721,1.23417
0.64,9.59494,8.330960000000001,1.26399
0.62,9.82351,8.54447,1.27904
0.6,10.0106,8.727360000000001,1.28329
0.58,10.2369,8.94759,1.2893
0.56,10.4717,9.17505,1.2966799999999998
0.54,10.6926,9.38768,1.30495
0.52,10.8722,9.56771,1.30447
0.5,11.0557,9.751710000000001,1.304
0.48,11.2409,9.93722,1.30365
0.46,11.4332,10.1297,1.3034700000000001
0.44,11.6334,10.3299,1.30345
0.42,11.8437,10.5401,1.3036
0.4,12.052,10.7514,1.30057
0.38,12.2377,10.9437,1.2940399999999999
0.36,12.4382,11.1527,1.28545
0.34,12.643,11.368,1.27494
0.32,12.8725,11.6117,1.26076
0.3,13.0577,11.7984,1.25925
0.28,13.2701,12.0129,1.25721
0.26,13.5043,12.2497,1.25464
0.24,13.77,12.5188,1.25118
0.22,14.0425,12.8003,1.24217
0.2,14.3511,13.1229,1.22824
0.18,14.7147,13.5073,1.20739
0.16,15.181,14.0113,1.1696600000000001
0.14,15.7075,14.5765,1.1310200000000001
0.12,16.276,15.1528,1.12319
0.1,17.1845,16.0882,1.0963
