Mass (M/M_sun),M_B,M_V,(B-V)_0
19.0,-4.24911,-6.04281,1.7937
18.0,-4.3017,-6.06454,1.7628400000000002
17.0,-5.24726,-5.02992,-0.21734
16.0,-4.90444,-4.657019999999999,-0.247419
15.0,-4.5411,-4.28305,-0.25805500000000003
14.0,-4.20155,-3.9382,-0.263349
13.0,-3.8797099999999998,-3.6147199999999997,-0.26499
12.0,-3.5367,-3.27148,-0.265221
11.0,-3.17067,-2.94455,-0.22611199999999998
10.0,-2.8475,-2.6263900000000002,-0.22111
9.9,-2.80609,-2.58518,-0.220913
9.8,-2.79371,-2.57386,-0.21985300000000002
9.7,-2.7322,-2.51269,-0.219507
9.6,-2.70559,-2.48676,-0.218836
9.5,-2.67908,-2.4609400000000003,-0.218139
9.4,-2.63346,-2.4156299999999997,-0.21782600000000002
9.3,-2.6227099999999997,-2.40598,-0.216732
9.2,-2.5938,-2.37779,-0.21601599999999999
9.1,-2.53107,-2.3155099999999997,-0.21555900000000003
9.0,-2.50218,-2.2873799999999997,-0.2148
8.9,-2.47116,-2.25692,-0.21423899999999999
8.8,-2.4437599999999997,-2.23057,-0.21319000000000002
8.7,-2.41522,-2.20287,-0.21235300000000001
8.6,-2.35148,-2.13971,-0.21176799999999998
8.5,-2.3214200000000003,-2.11055,-0.21086999999999997
8.4,-2.28547,-2.07528,-0.21019000000000002
8.3,-2.25754,-2.0485599999999997,-0.208979
8.2,-2.22562,-2.01762,-0.207997
8.1,-2.19402,-1.98705,-0.20697100000000002
8.0,-2.16178,-1.95587,-0.205904
7.9,-2.09472,-1.88962,-0.20509299999999997
7.8,-2.06224,-1.85828,-0.20396199999999998
7.7,-2.03704,-1.83418,-0.20285599999999998
7.6,-1.9854,-1.78357,-0.20183099999999998
7.5,-1.9495,-1.74892,-0.200575
7.4,-1.90786,-1.70852,-0.19933900000000002
7.3,-1.87225,-1.6742299999999999,-0.198018
7.2,-1.83687,-1.6402299999999999,-0.196635
7.1,-1.8015,-1.60632,-0.195185
7.0,-1.7413299999999998,-1.5473700000000001,-0.193953
6.9,-1.7169,-1.52461,-0.19228900000000002
6.8,-1.6649,-1.4739799999999998,-0.190921
