Mass (M/M_sun),M_B,M_V,(B-V)_0
7.1,10.8007,11.0637,-0.26295
7.0,10.7955,11.0582,-0.2627
6.9,10.7415,11.0013,-0.25986
6.8,10.6248,10.8758,-0.25106999999999996
6.7,10.3738,10.6289,-0.25508000000000003
6.6,10.3429,10.5956,-0.25276
6.5,10.3294,10.5813,-0.251861
6.4,10.2971,10.5467,-0.24964
6.3,10.0842,10.3407,-0.25655
6.2,10.0618,10.3166,-0.25477
6.1,9.847,10.1091,-0.262135
6.0,9.829410000000001,10.0899,-0.260436
5.9,9.61554,9.88157,-0.26602800000000004
5.8,9.41012,9.68207,-0.271943
5.7,9.22568,9.50335,-0.27766399999999997
5.6,8.75728,9.05108,-0.293797
5.5,7.093489999999999,7.334630000000001,-0.241142
5.4,-1.74155,-3.02045,1.2789
5.3,-1.90431,-3.05366,1.14935
5.2,-1.39444,-2.64328,1.2488299999999999
5.1,-2.4919599999999997,-2.37981,-0.112151
5.0,-2.24163,-2.12342,-0.118208
4.9,-2.0266599999999997,-1.9036,-0.123057
4.8,-1.8304200000000002,-1.7044,-0.126019
4.7,-1.65648,-1.52895,-0.127521
4.6,-1.5018200000000002,-1.3739,-0.127913
4.5,-1.36429,-1.23694,-0.12735
4.4,-1.24607,-1.12008,-0.125987
4.3,-1.10599,-0.980728,-0.12525799999999998
4.2,-0.989977,-0.866677,-0.1233
4.1,-0.874625,-0.753394,-0.12123099999999999
4.0,-0.761549,-0.642708,-0.118841
3.9,-0.6453220000000001,-0.528328,-0.116994
3.8,-0.557275,-0.443671,-0.113604
3.7,-0.43536400000000003,-0.32469899999999996,-0.11066500000000001
3.6,-0.336648,-0.23065300000000002,-0.105994
3.5,-0.240855,-0.139033,-0.101822
3.4,-0.11367000000000001,-0.0146822,-0.0989882
3.3,-0.00867989,0.0858633,-0.09454320000000001
3.2,0.08600189999999999,0.174094,-0.0880919
3.1,0.21899699999999997,0.303254,-0.0842578
3.0,0.319594,0.396311,-0.0767175
2.95,0.37888299999999997,0.452251,-0.07336799999999999
2.9,0.442642,0.5139560000000001,-0.0713147
2.85,0.5005539999999999,0.566537,-0.0659832
2.8,0.5589350000000001,0.620563,-0.0616279
2.75,0.631524,0.688867,-0.057343200000000004
2.7,0.681331,0.7333930000000001,-0.0520625
2.65,0.7471399999999999,0.7942899999999999,-0.047150599999999994
2.6,0.817214,0.859124,-0.041910699999999995
2.55,0.880282,0.915783,-0.035501099999999994
2.5,0.956076,0.9853799999999999,-0.029303899999999997
2.45,1.02847,1.05079,-0.022326
2.4,1.0982399999999999,1.11201,-0.013772
2.35,1.1752799999999999,1.18074,-0.00546491
2.3,1.25719,1.25375,0.003438
2.25,1.33732,1.32386,0.013453
2.2,1.42319,1.39878,0.024406900000000002
2.15,1.49922,1.46115,0.038067000000000004
2.1,1.59198,1.54029,0.0516911
2.05,1.7070599999999998,1.64306,0.063997
2.0,1.77699,1.71438,0.06260990000000001
1.98,1.8448900000000001,1.7549700000000001,0.089923
1.96,1.9037099999999998,1.80843,0.095276
1.94,1.9459799999999998,1.84133,0.104656
1.92,1.98957,1.8750799999999999,0.114488
1.9,2.00215,1.90704,0.095109
