Mass (M/M_sun),M_B,M_V,(B-V)_0
1.06,1.8486799999999999,0.7366050000000001,1.11208
1.04,4.825419999999999,3.9796699999999996,0.845744
1.02,4.68425,4.01511,0.669136
1.0,4.88935,4.23806,0.651291
0.98,5.1102,4.45679,0.653408
0.96,5.31058,4.64695,0.6636340000000001
0.94,5.51127,4.8323599999999995,0.67891
0.92,5.70706,5.00741,0.699652
0.9,5.93203,5.205419999999999,0.726604
0.88,6.150519999999999,5.39706,0.753458
0.86,6.38052,5.59096,0.789567
0.84,6.59205,5.772390000000001,0.8196610000000001
0.82,6.84956,5.991,0.858567
0.8,7.10878,6.20946,0.8993180000000001
0.78,7.36264,6.4249,0.9377340000000001
0.76,7.6222199999999996,6.63991,0.982316
0.74,7.93381,6.90298,1.03083
0.72,8.248669999999999,7.16051,1.08815
0.7,8.525210000000001,7.39693,1.12827
0.68,8.87622,7.683269999999999,1.19295
0.66,9.16318,7.94537,1.21781
0.64,9.42825,8.18361,1.24464
0.62,9.72862,8.45154,1.27708
0.6,9.93817,8.65662,1.28155
0.58,10.1704,8.88299,1.28736
0.56,10.3842,9.090580000000001,1.29364
0.54,10.6039,9.302710000000001,1.3012299999999999
0.52,10.821,9.51649,1.30455
0.5,11.0014,9.697410000000001,1.3040200000000002
0.48,11.206,9.90237,1.30361
0.46,11.398,10.0946,1.30338
0.44,11.5971,10.2938,1.3033
0.42,11.8249,10.5214,1.30349
0.4,12.0273,10.726,1.30134
0.38,12.2224,10.9277,1.29471
0.36,12.4237,11.1374,1.28633
0.34,12.643,11.368,1.27494
0.32,12.8629,11.602,1.26089
0.3,13.0451,11.7856,1.25945
0.28,13.2601,12.0027,1.25739
0.26,13.4936,12.2388,1.25485
0.24,13.7589,12.5075,1.2514299999999998
0.22,14.0333,12.7906,1.24276
0.2,14.3439,13.1151,1.22879
0.18,14.7147,13.5073,1.20739
0.16,15.181,14.0113,1.1696600000000001
0.14,15.7075,14.5765,1.1310200000000001
0.12,16.27,15.1467,1.1233
0.1,17.1788,16.082,1.09673
