Mass (M/M_sun),M_B,M_V,(B-V)_0
2.35,0.22615700000000002,-1.01045,1.23661
2.3,1.22126,0.275985,0.945276
2.25,1.4625,0.529267,0.9332290000000001
2.2,1.6842599999999999,0.758239,0.926024
2.15,1.1050200000000001,0.731956,0.373067
2.1,1.37265,0.9873200000000001,0.38533
2.05,1.43749,1.10826,0.32923
2.0,1.4935100000000001,1.20298,0.290536
1.98,1.58835,1.29837,0.289985
1.96,1.63959,1.35899,0.280599
1.94,1.69461,1.41679,0.277818
1.92,1.75151,1.4761799999999998,0.275325
1.9,1.75453,1.49632,0.258216
1.88,1.8802299999999998,1.60731,0.272913
1.86,1.94797,1.6686900000000002,0.279278
1.84,2.00847,1.7316099999999999,0.27686
1.82,2.0697799999999997,1.78845,0.281328
1.8,2.1322799999999997,1.8482,0.284082
1.78,2.1962599999999997,1.91075,0.285512
1.76,2.26045,1.9710299999999998,0.28942199999999996
1.74,2.3266,2.03535,0.291247
1.72,2.39119,2.09428,0.29691599999999996
1.7,2.45834,2.15735,0.300994
1.68,2.5274099999999997,2.22276,0.304645
1.66,2.59884,2.29097,0.307868
1.64,2.6669400000000003,2.35005,0.316894
1.62,2.74155,2.4203,0.321243
1.6,2.81164,2.47851,0.33312800000000004
1.58,2.88973,2.5516799999999997,0.338046
1.56,2.96545,2.61774,0.34771799999999997
1.54,3.04798,2.69137,0.356608
1.52,3.12515,2.76032,0.36483499999999996
1.5,3.20322,2.82899,0.374236
1.48,3.27987,2.89469,0.38518
1.46,3.3591,2.96595,0.393152
1.44,3.44259,3.04061,0.401975
1.42,3.5304800000000003,3.12181,0.408666
1.4,3.60667,3.1873,0.419362
1.38,3.69791,3.2690599999999996,0.42885
1.36,3.7782199999999997,3.33845,0.43976499999999996
1.34,3.8793,3.4318699999999995,0.44743599999999994
1.32,3.9641699999999997,3.5074199999999998,0.456754
1.3,4.05903,3.59235,0.466683
1.28,4.1616,3.6843199999999996,0.47728000000000004
1.26,4.25709,3.76815,0.488942
1.24,4.35656,3.85525,0.501308
1.22,4.47428,3.9622599999999997,0.512016
1.2,4.5707699999999996,4.04778,0.522986
1.18,4.6916400000000005,4.1557,0.535936
1.16,4.7906,4.24172,0.54888
1.14,4.91301,4.34846,0.56455
1.12,5.03761,4.45962,0.5779880000000001
1.1,5.15422,4.5625599999999995,0.591657
1.08,5.2858,4.677630000000001,0.608167
1.06,5.40034,4.7759,0.6244430000000001
1.04,5.53768,4.89303,0.644649
1.02,5.67023,5.00845,0.661784
1.0,5.80394,5.12246,0.681473
0.98,5.96483,5.25667,0.708154
0.96,6.09811,5.36897,0.729143
0.94,6.26363,5.5099599999999995,0.75367
0.92,6.41646,5.6359900000000005,0.780467
0.9,6.602460000000001,5.79108,0.811379
0.88,6.7714,5.93463,0.8367680000000001
0.86,6.954289999999999,6.08533,0.868964
0.84,7.175610000000001,6.27221,0.9034
0.82,7.37683,6.44158,0.935255
0.8,7.601139999999999,6.624689999999999,0.9764459999999999
0.78,7.81922,6.8105199999999995,1.0086899999999999
0.76,8.06945,7.01538,1.05407
0.74,8.32305,7.22622,1.09683
0.72,8.58296,7.44631,1.13665
0.7,8.88509,7.691389999999999,1.1937
0.68,9.11609,7.902810000000001,1.21327
0.66,9.36438,8.12679,1.23759
0.64,9.62786,8.3598,1.26805
0.62,9.84672,8.56718,1.27954
0.6,10.0464,8.76225,1.28419
0.58,10.2807,8.990089999999999,1.29062
0.56,10.4938,9.19629,1.2975
0.54,10.7104,9.40532,1.30504
0.52,10.8894,9.58494,1.30444
0.5,11.0557,9.751710000000001,1.304
0.48,11.2578,9.954180000000001,1.30367
0.46,11.4505,10.147,1.30352
0.44,11.6513,10.3478,1.30352
0.42,11.8623,10.5585,1.30372
0.4,12.052,10.7514,1.30057
0.38,12.2528,10.9594,1.29338
0.36,12.4517,11.1671,1.2846
0.34,12.6566,11.383,1.2736299999999998
0.32,12.8725,11.6117,1.26076
0.3,13.0577,11.7984,1.25925
0.28,13.2701,12.0129,1.25721
0.26,13.5043,12.2497,1.25464
0.24,13.77,12.5188,1.25118
0.22,14.0455,12.8036,1.24196
0.2,14.3511,13.1229,1.22824
0.18,14.7187,13.5117,1.2070299999999998
0.16,15.1868,14.0179,1.16889
0.14,15.7117,14.5807,1.13097
0.12,16.276,15.1528,1.12319
0.1,17.1845,16.0882,1.0963
