Mass (M/M_sun),M_B,M_V,(B-V)_0
9.1,-2.9376900000000004,-4.50964,1.57195
9.0,-5.01462,-5.68197,0.6673479999999999
8.9,-2.8679,-4.409269999999999,1.5413700000000001
8.8,-2.98579,-4.43089,1.4451
8.7,-2.74148,-4.29787,1.55639
8.6,-2.71254,-4.28651,1.57397
8.5,-3.6570099999999996,-3.48136,-0.175648
8.4,-3.4695099999999996,-3.2865,-0.18301199999999998
8.3,-3.4298699999999998,-3.24995,-0.17992
8.2,-3.29796,-3.11469,-0.183264
8.1,-3.17928,-2.99475,-0.184531
8.0,-3.0595,-2.8738,-0.185697
7.9,-2.94683,-2.76011,-0.186725
7.8,-2.83949,-2.65183,-0.187658
7.7,-2.7379700000000002,-2.5485599999999997,-0.189417
7.6,-2.65592,-2.46635,-0.189576
7.5,-2.582,-2.39257,-0.189436
7.4,-2.51591,-2.32685,-0.189058
7.3,-2.4415,-2.25272,-0.188788
7.2,-2.388,-2.20005,-0.187954
7.1,-2.3123099999999996,-2.12478,-0.187528
7.0,-2.2571,-2.0705400000000003,-0.186558
6.9,-2.1859,-2.00006,-0.185841
6.8,-2.13127,-1.94659,-0.18467999999999998
6.7,-2.0733900000000003,-1.8898599999999999,-0.18353
6.6,-2.01424,-1.8319299999999998,-0.182314
6.5,-1.95345,-1.77243,-0.181019
6.4,-1.8912200000000001,-1.7115900000000002,-0.179633
6.3,-1.8283900000000002,-1.65021,-0.17818
6.2,-1.7616599999999998,-1.58483,-0.176835
6.1,-1.6945400000000002,-1.5192,-0.175347
6.0,-1.6503599999999998,-1.47688,-0.173481
5.9,-1.57994,-1.40809,-0.171848
5.8,-1.5166899999999999,-1.34665,-0.170036
5.7,-1.4631100000000001,-1.29516,-0.167952
5.6,-1.40418,-1.23824,-0.165944
5.5,-1.35026,-1.18632,-0.16394
5.4,-1.27948,-1.11744,-0.162044
5.3,-1.21699,-1.05704,-0.159949
5.2,-1.15377,-0.996026,-0.157748
5.1,-1.0898299999999999,-0.93442,-0.15541
5.0,-1.02765,-0.8745959999999999,-0.15305
4.9,-0.9598979999999999,-0.809077,-0.150822
4.8,-0.9127360000000001,-0.764498,-0.148239
4.7,-0.844733,-0.698972,-0.145761
4.6,-0.776744,-0.6336069999999999,-0.143137
4.5,-0.708654,-0.568314,-0.14034100000000002
4.4,-0.636143,-0.498517,-0.137626
4.3,-0.5695399999999999,-0.43460200000000004,-0.134938
4.2,-0.510518,-0.378725,-0.131793
4.1,-0.442669,-0.314029,-0.12864
4.0,-0.357222,-0.231713,-0.12550899999999998
3.9,-0.285405,-0.162511,-0.122894
3.8,-0.211523,-0.0920031,-0.11952
3.7,-0.119887,-0.00359852,-0.116289
3.6,-0.061223400000000004,0.0497214,-0.110945
3.5,0.0232393,0.129977,-0.10673800000000001
3.4,0.10980899999999999,0.21339499999999997,-0.103585
3.3,0.18989,0.28881999999999997,-0.0989298
3.2,0.27277199999999996,0.365107,-0.09233510000000002
3.1,0.38843,0.47762,-0.08918960000000001
3.0,0.47441000000000005,0.555476,-0.0810656
2.95,0.52976,0.6078060000000001,-0.07804630000000001
2.9,0.5855859999999999,0.662249,-0.076663
2.85,0.63159,0.702321,-0.0707303
2.8,0.67209,0.738159,-0.0660689
2.75,0.739647,0.801922,-0.062275199999999996
2.7,0.7908850000000001,0.8481860000000001,-0.057301599999999994
2.65,0.85856,0.911328,-0.052768499999999996
2.6,0.911276,0.9582149999999999,-0.0469386
2.55,0.9695389999999999,1.0106700000000002,-0.041128500000000005
2.5,1.03004,1.0642,-0.034161000000000004
2.45,1.1045,1.13222,-0.027717900000000004
2.4,1.1729399999999999,1.19308,-0.020141
2.35,1.2322799999999998,1.2430700000000001,-0.0107861
2.3,1.3134,1.31595,-0.00254595
2.25,1.37713,1.36804,0.00908208
2.2,1.46099,1.44135,0.019648
2.15,1.55562,1.5253700000000001,0.030249
2.1,1.62971,1.58362,0.046095
2.05,1.7242400000000002,1.6631599999999997,0.061076
2.0,1.8058,1.76013,0.045668
1.98,1.87748,1.79404,0.083444
1.96,1.91973,1.8278299999999998,0.0919
1.94,1.97544,1.8783299999999998,0.09711289999999999
1.92,2.01879,1.9120599999999999,0.106727
1.9,2.00982,1.92957,0.0802469
1.88,2.11026,1.98345,0.126813
1.86,2.17175,2.0383299999999998,0.133417
1.84,2.2223,2.07776,0.144539
1.82,2.27583,2.1208400000000003,0.15499000000000002
1.8,2.3342099999999997,2.16952,0.164689
1.78,2.38315,2.20475,0.178398
1.76,2.44143,2.25205,0.189382
1.74,2.50523,2.30698,0.198251
1.72,2.5604400000000003,2.35023,0.210207
1.7,2.62239,2.4003900000000002,0.222002
1.68,2.68728,2.4550099999999997,0.232265
1.66,2.75561,2.5125900000000003,0.24301599999999998
1.64,2.82613,2.5710900000000003,0.25503899999999996
1.62,2.89676,2.63029,0.266466
1.6,2.96409,2.68502,0.279065
1.58,3.0378,2.74495,0.292846
1.56,3.11939,2.81356,0.305823
1.54,3.19483,2.8755900000000003,0.319244
1.52,3.27021,2.93667,0.333539
1.5,3.34635,2.9991,0.347244
1.48,3.43149,3.0706,0.360888
1.46,3.5104300000000004,3.13635,0.374078
1.44,3.5982300000000005,3.20973,0.38850100000000004
1.42,3.6827,3.28215,0.400549
1.4,3.7655,3.35375,0.411757
1.38,3.8528300000000004,3.42852,0.424313
1.36,3.93771,3.50156,0.436148
1.34,4.03136,3.5827199999999997,0.44863800000000004
1.32,4.11929,3.6602900000000003,0.45900100000000005
1.3,4.21376,3.74284,0.470919
1.28,4.31414,3.8293800000000005,0.484763
1.26,4.413469999999999,3.91508,0.49838599999999994
1.24,4.51358,4.00349,0.510099
1.22,4.61718,4.0948,0.522382
1.2,4.71936,4.1849,0.534456
1.18,4.82748,4.27904,0.5484399999999999
1.16,4.9330300000000005,4.37073,0.562301
1.14,5.05284,4.47515,0.5776859999999999
1.12,5.16406,4.57332,0.590739
1.1,5.28374,4.67703,0.606718
1.08,5.40434,4.78035,0.623989
1.06,5.54277,4.89723,0.6455380000000001
1.04,5.660819999999999,5.00045,0.6603720000000001
1.02,5.79965,5.11827,0.681384
1.0,5.9400699999999995,5.235,0.705069
0.98,6.08295,5.35505,0.7279
0.96,6.2202,5.47264,0.747558
0.94,6.36873,5.59666,0.77207
0.92,6.52991,5.727869999999999,0.802048
0.9,6.68398,5.86077,0.823206
0.88,6.86148,6.00948,0.852
0.86,7.049980000000001,6.16354,0.886438
0.84,7.23602,6.3234699999999995,0.9125479999999999
0.82,7.44148,6.4947099999999995,0.946765
0.8,7.66027,6.6757800000000005,0.984491
0.78,7.88465,6.8651100000000005,1.01954
0.76,8.14086,7.07233,1.06853
0.74,8.38538,7.27982,1.10555
0.72,8.64868,7.5008300000000006,1.14785
0.7,8.933769999999999,7.73601,1.19775
0.68,9.166360000000001,7.9485,1.21786
0.66,9.41383,8.170919999999999,1.24291
0.64,9.677,8.40268,1.2743200000000001
0.62,9.88123,8.60092,1.28031
0.6,10.0827,8.79755,1.28514
0.58,10.291,9.00002,1.29094
0.56,10.5041,9.20622,1.29788
0.54,10.718,9.41301,1.30502
0.52,10.8972,9.59274,1.30443
0.5,11.0766,9.77257,1.304
0.48,11.2661,9.96236,1.3037
0.46,11.4588,10.1552,1.30355
0.44,11.6594,10.3558,1.3035700000000001
0.42,11.8709,10.5671,1.30376
0.4,12.0636,10.7633,1.30021
0.38,12.2594,10.9663,1.2930700000000002
0.36,12.4574,11.1732,1.2842200000000001
0.34,12.6603,11.3871,1.27328
0.32,12.8751,11.6144,1.26072
0.3,13.0604,11.8012,1.25921
0.28,13.2733,12.0162,1.25716
0.26,13.5077,12.2531,1.25458
0.24,13.7738,12.5227,1.25109
0.22,14.0459,12.804,1.24194
0.2,14.3527,13.1245,1.22813
0.18,14.7195,13.5125,1.20695
0.16,15.1874,14.0186,1.16882
0.14,15.7124,14.5814,1.13095
0.12,16.2772,15.154,1.12316
0.1,17.1854,16.0892,1.09622
